clean_desc,variety
acidity acidity cherry fruit dry,Pinot Noir
sweet dry lemon acidity citrus,Riesling
oak light,Cabernet Franc
white citrus white,Pinot Grigio
berry,Red Blend
acidity,Chardonnay
fruit citrus apple fruit,White Blend
black cherry rich,Sangiovese
fruit fruit,Pinot Noir
cherry acidity black fruit,Pinot Noir
red,Syrah
lemon acidity white,Portuguese White
sweet,Pinot Noir
cherry fruit wood,Pinot Noir
cherry earth,Pinot Noir
fruit,Cabernet Franc
red acidity berry cherry,Red Blend
sweet oak fruit spicy sweet acidity,Merlot
fruit,Sauvignon Blanc
dry apple lemon apple,Riesling
dry acidity cherry red pepper,Merlot
acidity sweet dry apple,Riesling
spicy black acidity,Portuguese Red
spicy sweet red oak,Merlot
dry crisp citrus lemon acidity,Sauvignon Blanc
black berry acidity,Portuguese Red
black fruit crisp acidity,Red Blend
cherry cherry light dry,Rhône-style Red Blend
fruit pear vanilla dry spicy,Riesling
sweet white honey,Port
acidity red dry acidity crisp,Rosé
light sweet vanilla,Shiraz
sweet cherry oak,Bordeaux-style Red Blend
fruit pear vanilla acidity,Chardonnay
dry,Tempranillo
citrus vanilla acidity,Sauvignon Blanc
oak fruit honey,Red Blend
acidity cherry white,Pinot Noir
light crisp,Rosé
oak red fruit dry red,Merlot
fruit oak,Petite Sirah
dry,Riesling
sweet citrus,White Blend
fruit oak black fruit,Red Blend
fruit fruit,Cabernet Sauvignon
mineral lemon crisp structure crisp,Chardonnay
red sweet,Red Blend
dry red fruit pepper,Syrah
fruit acid,Bordeaux-style Red Blend
white crisp,White Blend
cherry fruit sweet oak black cherry tannin wood,Bordeaux-style Red Blend
cherry dry cherry,Sparkling Blend
structure fruit,Gamay
red berry fruit vanilla,Pinot Noir
fruit,Malbec
apple,White Blend
red fruit,Red Blend
acidity apple,Riesling
white dry,Riesling
black fruit acidity,Gamay
red crisp acidity,Pinot Noir
citrus dry acidity,Riesling
cherry,Syrah
dry crisp white,Riesling
dry crisp acidity cherry fruit,Pinot Noir
light fruit red fruit sweet,Red Blend
spicy berry fruit acidity rich,Portuguese Red
light red berry crisp cherry dry,Tempranillo
light,Bordeaux-style Red Blend
black black pepper dry structure,Syrah
structure fruit wood,Portuguese Red
sweet cherry rich structure,Pinot Noir
black fruit oak acidity,Merlot
red cherry,Red Blend
cherry,Red Blend
red dry spicy berry fruit,Pinot Noir
black berry fruit light,Malbec
black rich black fruit sweet vanilla structure,Merlot
oak black earth,Merlot
sweet black pepper,Petite Sirah
acidity berry spicy dry,Petite Sirah
rich dry acidity,Chardonnay
red apple white,White Blend
rich red cherry red,Petite Sirah
sweet fruit,Sparkling Blend
cherry oak,Merlot
dry light crisp,Portuguese White
spicy,Bordeaux-style White Blend
dry fruit red,Bordeaux-style Red Blend
black berry dry,Port
black red fruit,Merlot
dry light cherry acidity,Pinot Noir
light fruit,Red Blend
fruit sweet acidity,Sparkling Blend
fruit,White Blend
sweet acidity,Riesling
black pepper fruit,Pinot Gris
light acidity,Portuguese White
creamy apple pear wood acidity fruit,Portuguese White
berry spicy acidity red vanilla,Carmenère
red fruit,Merlot
cherry,Red Blend
fruit creamy,White Blend
sweet,White Blend
fruit red dry,Cabernet Sauvignon
sweet pear vanilla,Chardonnay
acidity,Chardonnay
red berry,Cabernet Sauvignon
light berry fruit,Bordeaux-style Red Blend
white creamy sweet berry cherry,Rosé
acidity sweet cherry,Red Blend
sweet dry acidity lemon,Riesling
acidity cherry dry,Pinot Noir
cherry fruit dry acidity,Merlot
oak black black fruit,Merlot
red,Portuguese Red
acidity mineral,Portuguese White
oak black fruit,Merlot
fruit,Sparkling Blend
sweet,Zinfandel
fruit,Chardonnay
light red red berry acidity,Portuguese Red
rich acidity,Portuguese Red
fruit cherry white,Red Blend
light fruit,Sauvignon Blanc
black light cherry acidity light,Merlot
sweet black fruit acidity,Tempranillo
rich cherry dry crisp,Tempranillo
earth cherry vanilla cherry red acidity fruit light,Tempranillo
sweet,Chardonnay
sweet acidity,Bordeaux-style White Blend
cherry light dry,Tempranillo Blend
light,Sauvignon Blanc
lemon,Viognier
sweet fruit crisp,Sauvignon Blanc
oak,Pinot Noir
crisp sweet,Pinot Grigio
red berry light,Bordeaux-style Red Blend
white,White Blend
cherry creamy oak,Merlot
light fruit,Syrah
sweet white pepper,Riesling
red cherry acidity,Gamay
cherry,Syrah
sweet lemon lemon,Riesling
citrus creamy acidity,Chardonnay
wood,Chardonnay
white spicy citrus,White Blend
sweet,Cabernet Franc
cherry dry,Pinot Noir
acidity crisp,Riesling
rich fruit red cherry acidity,Gamay
berry red dry oak,Tempranillo
acidity fruit,Sparkling Blend
cherry red dry spicy,Pinot Noir
fruit,White Blend
red cherry acidity fruit,Gamay
sweet oak vanilla fruit,Chardonnay
black cherry,Merlot
dry apple acidity,Gewürztraminer
fruit dry cherry fruit,Cabernet Sauvignon
black berry dry acidity,Bordeaux-style Red Blend
crisp sweet citrus apple vanilla,Pinot Grigio
sweet rich cherry,Syrah
pear apple apple acidity,Sauvignon Blanc
red acidity,Merlot
cherry,Petite Sirah
acidity oak,Bordeaux-style Red Blend
structure acidity cherry oak,Syrah
vanilla acidity,Rosé
rich black pepper,Syrah
black pepper sweet,Petite Sirah
dry berry cherry,Merlot
cherry oak dry,Pinot Noir
cherry,Rhône-style Red Blend
dry cherry spicy,Cabernet Sauvignon
rich berry dry,Bordeaux-style Red Blend
acidity,Rosé
acidity red,Bordeaux-style Red Blend
fruit black acidity light,Bordeaux-style Red Blend
light light acidity,Red Blend
dry black pepper,Syrah
fruit,Cabernet Sauvignon
fruit,Sparkling Blend
sweet red sweet,Tempranillo
sweet structure cherry,Tempranillo
oak fruit,Pinot Noir
vanilla oak sweet,Chardonnay
citrus honey apple,Riesling
fruit oak crisp,Pinot Noir
black dry rich,Cabernet Sauvignon
sweet black sweet oak,Cabernet Sauvignon
rich cherry red dry,Merlot
citrus,Chardonnay
fruit light,Red Blend
red berry white acidity,Rosé
crisp lemon,White Blend
light acidity light,Portuguese Red
light apple apple acidity white citrus,Sauvignon Blanc
sweet,Pinot Noir
vanilla,Cabernet Sauvignon
lemon,Riesling
structure fruit red light,Gamay
dry sweet pear apple,Gewürztraminer
cherry vanilla oak,Cabernet Sauvignon
acidity apple creamy,Chardonnay
crisp acidity,Portuguese White
fruit berry,Merlot
red berry,Tempranillo
pear fruit acidity,Portuguese White
sweet acidity,Sauvignon Blanc
crisp fruit,Red Blend
dry wood,Portuguese Red
acidity rich,Petite Sirah
dry cherry berry,Merlot
sweet creamy,White Blend
acidity berry cherry,Petite Sirah
acidity black fruit,Malbec
acidity berry light,Bordeaux-style Red Blend
black structure,Bordeaux-style Red Blend
oak,Pinot Noir
rich spicy sweet,Bordeaux-style Red Blend
fruit black,Cabernet Sauvignon
red,Portuguese Red
earth black berry,Merlot
acidity cherry rich,Petite Sirah
sweet,Cabernet Sauvignon
berry fruit acidity,Bordeaux-style Red Blend
rich berry,Rosé
sweet cherry pepper acidity structure,Merlot
rich,Cabernet Sauvignon
sweet acidity,Gamay
red berry,Portuguese Red
citrus dry,Sparkling Blend
dry berry cherry,Cabernet Sauvignon
acidity cherry sweet,Merlot
dry cherry red oak,Merlot
fruit,Bordeaux-style Red Blend
red cherry,Tempranillo
acidity fruit,Bordeaux-style Red Blend
black fruit,Tempranillo
tannin,Pinot Noir
fruit,Sauvignon Blanc
black fruit berry,Tempranillo
light cherry fruit,Pinot Noir
fruit black light acidity,Portuguese Red
sweet,Syrah
fruit sweet,Sauvignon Blanc
fruit berry,Cabernet Franc
light white fruit crisp acidity,Chardonnay
acidity vanilla sweet,Pinot Grigio
dry cherry fruit,Merlot
fruit,Sauvignon Blanc
sweet,Sparkling Blend
cherry,Shiraz
fruit wood,Bordeaux-style Red Blend
sweet berry sweet,Red Blend
honey sweet,Chardonnay
wood fruit,Bordeaux-style Red Blend
tannin fruit,Bordeaux-style Red Blend
cherry,Red Blend
acidity,Chenin Blanc
sweet lemon honey,Viognier
light fruit red,Gamay
white dry dry acidity,Pinot Gris
white light acidity wood apple,Chardonnay
white citrus fruit pear,White Blend
light dry apple citrus,Riesling
dry black pepper,Red Blend
fruit cherry berry red,Tempranillo
honey light dry,Riesling
crisp sweet lemon vanilla acidity,Sauvignon Blanc
red cherry,Gamay
red cherry fruit,Barbera
fruit,Cabernet Franc
dry sweet cherry fruit,Rosé
sweet,Riesling
apple light acidity,Pinot Gris
black cherry fruit acidity dry fruit,Gamay
black cherry dry sweet fruit,Gamay
rich,Cabernet Sauvignon
dry creamy acidity citrus fruit mineral vanilla,Chardonnay
dry,Cabernet Sauvignon
berry cherry sweet oak,Syrah
wood lemon apple acidity,Chardonnay
white,White Blend
cherry,Red Blend
sweet cherry,Pinot Noir
sweet white rich fruit lemon,Pinot Gris
red fruit red acidity,Gamay
cherry,Pinot Noir
sweet lemon creamy,Viognier
red berry citrus,Tempranillo
white citrus fruit,White Blend
apple,Albariño
red tannin,Rhône-style Red Blend
sweet honey acidity,Riesling
apple apple apple,Riesling
sweet crisp acidity,Pinot Noir
sweet fruit,Riesling
red dry black cherry cherry,Pinot Noir
wood sweet red fruit tannin,Port
dry rich berry sweet,Zinfandel
oak white dry sweet,Pinot Grigio
red berry sweet,Merlot
sweet white vanilla,Sparkling Blend
sweet,Zinfandel
acidity,Sauvignon Blanc
red fruit,Red Blend
sweet,Zinfandel
red cherry,Tempranillo
cherry,Sangiovese
fruit,Bordeaux-style Red Blend
acidity red,Portuguese Red
fruit,Chardonnay
light dry,Champagne Blend
rich creamy acidity,Champagne Blend
rich,Champagne Blend
rich fruit mineral,Champagne Blend
fruit,Nebbiolo
fruit acidity,Champagne Blend
mineral white,Champagne Blend
black fruit earth,Nebbiolo
mineral dry acidity crisp,Champagne Blend
red cherry mineral,Nebbiolo
mineral citrus light,Chardonnay
fruit oak fruit black red cherry oak sweet,Cabernet Sauvignon
dry black red,Cabernet Sauvignon
acidity red,Pinot Noir
light red berry,Red Blend
fruit,White Blend
spicy,Petite Sirah
sweet vanilla acidity,Chardonnay
acidity red dry,Gamay
dry acidity,Riesling
fruit sweet cherry oak,Pinot Noir
white fruit acidity white citrus,Albariño
acidity citrus,Sauvignon Blanc
sweet berry,Red Blend
white fruit,Viognier
acidity sweet berry cherry fruit,Cabernet Sauvignon
white honey fruit crisp,White Blend
apple citrus dry,Riesling
berry,Tempranillo
acidity red cherry tannin,Gamay
apple light,Pinot Grigio
acidity,Chardonnay
apple pepper,Riesling
rich citrus wood fruit,Champagne Blend
creamy rich cherry,Nebbiolo
black cherry black fruit sweet oak earth tannin acid structure,Merlot
dry sweet black,Cabernet Sauvignon
cherry mineral fruit,Nebbiolo
creamy rich,Champagne Blend
mineral wood,Nebbiolo
acidity mineral,Champagne Blend
acidity,Champagne Blend
rich sweet vanilla cherry fruit sweet,Nebbiolo
acidity rich,Champagne Blend
white vanilla,Nebbiolo
acidity citrus,Champagne Blend
sweet,Nebbiolo
fruit,Nebbiolo
dry acidity oak,Pinot Noir
white crisp apple acidity structure,Chardonnay
rich berry,Nebbiolo
cherry red,Pinot Noir
black fruit cherry vanilla,Nebbiolo
crisp dry red acidity,Champagne Blend
acidity,Chardonnay
rich white,Chardonnay
rich cherry sweet vanilla oak structure,Pinot Noir
cherry vanilla,Nebbiolo
black pepper rich,Nebbiolo
black oak,Nebbiolo
oak,Cabernet Sauvignon
black fruit,Nebbiolo
fruit,White Blend
red fruit light red fruit acidity,Tempranillo
sweet,Tempranillo
sweet oak,Chardonnay
white white,Sauvignon Blanc
lemon white crisp,Chardonnay
white citrus fruit sweet,White Blend
white dry crisp,Chardonnay
apple rich apple fruit,Riesling
rich spicy berry,Red Blend
sweet cherry dry crisp red,Rosé
dry acidity sweet citrus,Portuguese White
light citrus acidity,Albariño
dry,Merlot
sweet apple sweet oak,Chardonnay
dry oak sweet vanilla,Sauvignon Blanc
sweet fruit sweet,Gewürztraminer
berry black,Tempranillo
crisp lemon butter fruit,Chardonnay
red berry,Red Blend
sweet vanilla,Chardonnay
fruit,Red Blend
dry black pepper,Syrah
apple dry lemon,Riesling
sweet cherry,Syrah
fruit vanilla,Nebbiolo
cherry vanilla,Nebbiolo
fruit vanilla structure,Nebbiolo
red berry dry,Champagne Blend
acidity,Champagne Blend
berry,Nebbiolo
rich acidity,Sparkling Blend
vanilla cherry,Nebbiolo
red,Nebbiolo
oak cherry vanilla,Nebbiolo
rich cherry,Nebbiolo
dry rich,Champagne Blend
black cherry fruit,Cabernet Sauvignon
rich black fruit vanilla cherry light,Nebbiolo
spicy fruit,Nebbiolo
oak cherry sweet,Cabernet Sauvignon
berry mineral,Nebbiolo
tannin fruit,Merlot
oak fruit,Nebbiolo
black sweet spicy,Cabernet Sauvignon
black cherry black vanilla,Nebbiolo
black fruit,Nebbiolo
cherry black fruit oak,Pinot Noir
rich spicy fruit oak fruit earth,Cabernet Sauvignon
red fruit fruit,Champagne Blend
fruit black pepper,Syrah
rich fruit cherry berry oak vanilla,Nebbiolo
red black earth,Cabernet Sauvignon
sweet fruit,Chardonnay
berry cherry black sweet,Petite Sirah
white apple,Gewürztraminer
sweet vanilla,Chardonnay
apple sweet,Sauvignon Blanc
sweet,Cabernet Sauvignon
earth berry fruit citrus,Red Blend
fruit,Pinot Noir
apple pear fruit light,Portuguese White
creamy berry citrus crisp acidity,Tempranillo
vanilla rich sweet,Chardonnay
sweet cherry dry dry sweet cherry acidity,Rosé
berry earth,Red Blend
sweet,Chardonnay
red cherry light fruit acidity,Gamay
red cherry,Pinot Noir
red fruit vanilla,Merlot
crisp citrus white,Sauvignon Blanc
acidity lemon,Chardonnay
dry fruit,Gamay
red cherry fruit dry,Gamay
red acidity dry structure,Gamay
white crisp citrus fruit,White Blend
light white fruit light acidity,Chardonnay
rich sweet fruit cherry,Cabernet Sauvignon
apple crisp,Champagne Blend
rich dry vanilla honey,Sparkling Blend
rich cherry vanilla oak mineral,Nebbiolo
acidity mineral oak,Pinot Noir
mineral apple,Champagne Blend
fruit mineral,Nebbiolo
rich black cherry rich,Nebbiolo
cherry dry spicy oak,Cabernet Sauvignon
berry earth,Nebbiolo
dry rich cherry sweet,Cabernet Sauvignon
fruit berry white pepper spicy,Nebbiolo
mineral citrus pear,Chardonnay
rich oak,Bordeaux-style Red Blend
creamy,Sparkling Blend
crisp red citrus,Champagne Blend
fruit cherry rich,Nebbiolo
cherry,Nebbiolo
rich dry black mineral,Cabernet Sauvignon
black cherry wood mineral rich,Nebbiolo
structure cherry pepper vanilla sweet oak dry,Pinot Noir
black fruit white,Nebbiolo
rich white fruit honey,Champagne Blend
sweet light rich acidity,Nebbiolo
cherry fruit oak vanilla,Nebbiolo
rich acidity sweet,Champagne Blend
fruit,Champagne Blend
red berry fruit vanilla mineral,Nebbiolo
berry,Nebbiolo
sweet vanilla,Chardonnay
acidity red cherry,Tempranillo
cherry wood oak red berry crisp,Pinot Noir
berry cherry,Red Blend
sweet lemon acidity,Gewürztraminer
fruit white,Chardonnay
cherry fruit,Merlot
sweet cherry,Cabernet Sauvignon
red fruit,Gamay
red cherry white,Red Blend
sweet white,Rosé
fruit fruit,Zinfandel
pepper,Zinfandel
sweet oak,Bordeaux-style Red Blend
dry red,Rosé
dry,Cabernet Sauvignon
berry berry,Cabernet Sauvignon
dry apple black,Riesling
light fruit light,Portuguese Red
sweet cherry,Pinot Noir
dry,Bordeaux-style Red Blend
acidity,Chardonnay
sweet vanilla,Chardonnay
fruit pepper,Cabernet Franc
cherry citrus red fruit,Tempranillo
berry red pepper sweet,Red Blend
berry fruit structure acidity,Nebbiolo
red sweet fruit sweet oak black cherry,Cabernet Sauvignon
rich cherry earth,Nebbiolo
vanilla fruit mineral rich,Nebbiolo
rich,Chenin Blanc
fruit earth,Nebbiolo
fruit mineral,Nebbiolo
rich,Champagne Blend
berry black pepper,Nebbiolo
cherry white,Nebbiolo
oak sweet vanilla cherry berry earth,Nebbiolo
rich berry red white,Nebbiolo
structure,Nebbiolo
rich sweet vanilla black,Nebbiolo
oak fruit,Nebbiolo
white,Nebbiolo
fruit,Nebbiolo
berry red mineral,Nebbiolo
mineral dry apple acidity light,Champagne Blend
oak vanilla sweet berry,Nebbiolo
rich pepper berry,Cabernet Sauvignon
vanilla butter dry acidity earth,Pinot Noir
oak black cherry black tannin structure rich,Bordeaux-style Red Blend
black cherry vanilla,Nebbiolo
rich rich citrus,Champagne Blend
black sweet dry,Cabernet Sauvignon
berry white,Nebbiolo
red berry,Red Blend
black pepper,Zinfandel
light,White Blend
berry cherry,Cabernet Sauvignon
sweet berry pepper oak,Merlot
dry apple black pepper,Riesling
red fruit citrus,Syrah
black,Tempranillo
acidity oak lemon,Carmenère
dry fruit,Merlot
sweet,Cabernet Sauvignon
dry,Pinot Noir
sweet fruit,White Blend
red fruit,Red Blend
dry acidity fruit,Merlot
apple lemon lemon,Riesling
spicy berry creamy vanilla fruit sweet,Carmenère
acidity cherry,Pinot Noir
sweet cherry,Zinfandel
light red apple,Chardonnay
dry cherry,Rosé
structure black spicy mineral berry,Cabernet Sauvignon
pear mineral structure rich,Grüner Veltliner
black fruit oak acidity,Nebbiolo
fruit cherry,Nebbiolo
cherry vanilla berry,Nebbiolo
crisp acidity cherry,Champagne Blend
cherry fruit,Nebbiolo
fruit,Nebbiolo
mineral berry,Nebbiolo
white cherry red apple,Nebbiolo
oak wood vanilla black fruit structure,Nebbiolo
mineral structure citrus apple acidity,Riesling
berry cherry tannin acidity,Nebbiolo
cherry fruit acidity,Nebbiolo
fruit mineral,Nebbiolo
red fruit sweet fruit,Nebbiolo
cherry,Nebbiolo
dry creamy white vanilla,Chardonnay
rich cherry black structure,Nebbiolo
berry fruit acidity,Nebbiolo
berry,Cabernet Sauvignon
black,Red Blend
berry white,Nebbiolo
rich cherry black fruit,Nebbiolo
fruit cherry,Nebbiolo
rich fruit,Nebbiolo
rich sweet,Champagne Blend
vanilla sweet earth,Nebbiolo
fruit black cherry,Nebbiolo
honey acidity lemon,Chardonnay
rich crisp,Champagne Blend
cherry berry mineral,Nebbiolo
black cherry structure,Nebbiolo
rich mineral wood,Nebbiolo
acidity dry sweet oak,Pinot Noir
sweet oak,Cabernet Sauvignon
structure berry white,Nebbiolo
fruit rich black,Merlot
dry light crisp mineral cherry,Pinot Noir
white acidity apple,Champagne Blend
dry rich crisp pear apple acidity,Chardonnay
oak wood cherry black fruit,Bordeaux-style Red Blend
acidity crisp,Champagne Blend
vanilla berry,Nebbiolo
black cherry vanilla,Nebbiolo
black fruit,Nebbiolo
structure apple acidity citrus,Grüner Veltliner
vanilla,Nebbiolo
white citrus,Viognier
black pepper fruit,Nebbiolo
rich white acidity,Champagne Blend
rich acidity,Champagne Blend
oak rich acidity cherry fruit,Cabernet Sauvignon
sweet,Chardonnay
black pepper sweet,Zinfandel
dry,Cabernet Sauvignon
dry,Petite Sirah
sweet honey,White Blend
mineral,Portuguese White
cherry fruit,Sangiovese
dry fruit,Merlot
apple,Pinot Grigio
cherry berry,Merlot
cherry acid acid,Tempranillo
fruit,Cabernet Franc
fruit sweet cherry,Cabernet Sauvignon
fruit pear vanilla,Chardonnay
dry,Cabernet Sauvignon
sweet,White Blend
sweet,Riesling
sweet,Cabernet Sauvignon
sweet sweet,Riesling
acidity citrus,Riesling
citrus fruit acidity,Riesling
red black,Pinot Noir
honey sweet fruit,Riesling
rich acidity sweet white,Riesling
rich black,Cabernet Sauvignon
honey,Riesling
fruit black,Bordeaux-style Red Blend
fruit dry crisp oak,Pinot Noir
fruit,Riesling
sweet,Riesling
sweet,Riesling
fruit,Riesling
fruit berry red dry structure dry dry,Zinfandel
dry citrus apple structure,Grüner Veltliner
fruit cherry vanilla crisp,Pinot Noir
fruit sweet citrus honey,Riesling
sweet pear,Riesling
rich pepper fruit sweet,Grüner Veltliner
spicy black cherry,Pinot Noir
rich citrus lemon apple light,Pinot Gris
oak sweet black fruit,Cabernet Sauvignon
red cherry pepper spicy,Merlot
sweet sweet fruit,Riesling
sweet fruit oak rich,Pinot Noir
butter sweet dry,Chardonnay
sweet acidity citrus,Riesling
rich acidity mineral,Grüner Veltliner
sweet light citrus fruit,Riesling
fruit cherry,Pinot Noir
black fruit,Nebbiolo
dry crisp berry,Pinot Noir
fruit,Champagne Blend
fruit,Nebbiolo
acidity,Nebbiolo
dry red black,Cabernet Sauvignon
acidity crisp rich honey,Riesling
fruit pear,Champagne Blend
oak crisp mineral lemon acidity,Chardonnay
cherry berry oak,Nebbiolo
berry fruit,Nebbiolo
black cherry dry earth dry,Nebbiolo
cherry,Nebbiolo
fruit red fruit rich,Red Blend
vanilla fruit tannin,Nebbiolo
rich dry acidity,Champagne Blend
black creamy white cherry white white,Nebbiolo
cherry black fruit fruit,Nebbiolo
rich apple acidity light honey dry mineral,Champagne Blend
earth black black cherry tannin,Cabernet Franc
rich honey acidity,Riesling
fruit,Nebbiolo
cherry oak,Cabernet Sauvignon
black cherry,Bordeaux-style Red Blend
mineral berry,Nebbiolo
vanilla cherry fruit,Cabernet Sauvignon
wood rich wood,Champagne Blend
crisp rich acidity light honey acidity,Grüner Veltliner
rich oak dry acidity,Cabernet Sauvignon
red black light,Pinot Noir
oak dry,Zinfandel
fruit sweet fruit,Riesling
sweet,Bordeaux-style Red Blend
cherry fruit light,Pinot Noir
wood rich berry,Red Blend
red wood sweet,Red Blend
fruit sweet,Riesling
honey acidity,Riesling
wood wood black fruit structure fruit,Malbec
wood fruit,Malbec
fruit cherry vanilla oak butter,Pinot Noir
dry,Red Blend
sweet citrus acidity,Riesling
berry cherry oak,Pinot Noir
sweet cherry fruit tannin structure,Cabernet Sauvignon
dry crisp,Pinot Noir
dry,Zinfandel
dry spicy dry,Zinfandel
black oak tannin structure,Cabernet Sauvignon
rich,Pinot Noir
black cherry fruit tannin rich,Pinot Noir
berry cherry pepper fruit,Petite Sirah
rich creamy sweet,Sparkling Blend
cherry fruit spicy red oak dry,Pinot Noir
acidity mineral berry cherry,Nebbiolo
white pear mineral white lemon,Chardonnay
dry crisp pepper sweet oak,Pinot Noir
black red cherry oak,Cabernet Sauvignon
mineral light,Nebbiolo
rich black sweet wood,Cabernet Sauvignon
cherry berry cherry,Nebbiolo
berry fruit mineral,Nebbiolo
red dry black,Cabernet Sauvignon
fruit mineral black fruit,Nebbiolo
cherry vanilla mineral,Nebbiolo
light,Nebbiolo
fruit berry,Nebbiolo
oak dry,Pinot Noir
rich black fruit sweet,Nebbiolo
black black fruit,Cabernet Sauvignon
dry black,Cabernet Sauvignon
black cherry fruit sweet,Bordeaux-style Red Blend
fruit crisp citrus,Riesling
black,Nebbiolo
rich rich acidity,Champagne Blend
black cherry mineral red,Nebbiolo
sweet berry fruit vanilla,Nebbiolo
fruit rich,Riesling
fruit,Chardonnay
black fruit mineral,Nebbiolo
fruit black cherry,Nebbiolo
creamy pear lemon black honey,Chardonnay
fruit cherry vanilla sweet,Nebbiolo
dry creamy rich apple crisp acidity,Chardonnay
rich spicy dry,Zinfandel
rich spicy fruit,Pinot Noir
acidity crisp,Riesling
red black spicy,Pinot Noir
fruit rich creamy,Syrah
white oak pear vanilla crisp acidity,Chardonnay
rich sweet,Riesling
sweet fruit dry,Chardonnay
pear vanilla mineral oak acidity,Viognier
citrus,Riesling
acidity crisp fruit,Grüner Veltliner
berry sweet oak,Zinfandel
oak vanilla dry,Chardonnay
fruit,Grüner Veltliner
fruit citrus structure,Pinot Noir
structure acidity pepper,Pinot Noir
dry black pepper,Syrah
white oak creamy rich vanilla citrus,Chardonnay
vanilla berry fruit structure,Cabernet Sauvignon
dry structure,Cabernet Sauvignon
sweet cherry oak sweet butter vanilla fruit acid tannin structure,Pinot Noir
cherry black fruit,Nebbiolo
dry cherry oak,Cabernet Sauvignon
fruit dry acidity,Riesling
dry white acidity,Chardonnay
cherry berry fruit,Nebbiolo
mineral cherry fruit acidity,Cabernet Sauvignon
red acidity fruit,Champagne Blend
black,Nebbiolo
rich red black cherry fruit oak,Cabernet Sauvignon
rich apple acidity,Champagne Blend
berry white cherry,Nebbiolo
fruit cherry,Nebbiolo
black mineral,Nebbiolo
berry mineral,Nebbiolo
cherry,Cabernet Sauvignon
red berry fruit white,Nebbiolo
acidity structure dry rich,Bordeaux-style Red Blend
lemon,Viognier
light mineral,Nebbiolo
sweet acidity,Champagne Blend
black fruit earth acidity,Nebbiolo
rich cherry earth black,Nebbiolo
pepper oak dry,Syrah
vanilla acidity,Chardonnay
fruit red cherry fruit sweet,Nebbiolo
fruit,Nebbiolo
rich fruit mineral,Champagne Blend
berry structure,Nebbiolo
rich black cherry fruit sweet cherry earth,Bordeaux-style Red Blend
sweet vanilla fruit oak,Nebbiolo
honey acidity,Nebbiolo
cherry black structure,Nebbiolo
sweet red fruit,Nebbiolo
acidity,Nebbiolo
fruit fruit acidity,Sauvignon Blanc
fruit oak mineral,Nebbiolo
sweet cherry fruit oak,Cabernet Sauvignon
fruit oak vanilla,Nebbiolo
creamy acidity apple rich,Chardonnay
berry fruit fruit,Nebbiolo
wood acidity citrus white apple mineral,Viognier
creamy rich citrus,Nebbiolo
berry mineral rich,Nebbiolo
acidity,Champagne Blend
berry mineral,Nebbiolo
rich sweet light acidity honey,Grüner Veltliner
black fruit acidity structure,Nebbiolo
red black fruit,Cabernet Sauvignon
berry fruit oak pepper white,Nebbiolo
berry fruit,Nebbiolo
pepper structure dry spicy,Syrah
rich citrus,Chardonnay
black,Nebbiolo
fruit fruit black,Cabernet Franc
fruit cherry apple,Nebbiolo
black,Nebbiolo
mineral apple pear fruit,Pinot Gris
dry red,Pinot Noir
oak,Cabernet Sauvignon
fruit cherry spicy sweet oak acidity fruit,Pinot Noir
sweet cherry oak rich,Pinot Noir
red tannin acid dry rich fruit sweet,Pinot Noir
acidity mineral rich,Cabernet Sauvignon
rich cherry pepper oak fruit,Cabernet Sauvignon
black cherry fruit tannin acid,Pinot Noir
oak cherry fruit,Pinot Noir
oak,Cabernet Sauvignon
rich black structure wood,Malbec
light vanilla citrus fruit fruit,Riesling
wood black fruit,Malbec
apple pear rich apple vanilla,Chardonnay
dry rich black black sweet,Bordeaux-style Red Blend
structure,Malbec
white fruit,White Blend
dry tannin structure oak,Cabernet Sauvignon
structure acidity rich black cherry fruit,Cabernet Sauvignon
rich fruit oak,Chardonnay
berry pepper structure,Zinfandel
oak vanilla creamy lemon white creamy,Chardonnay
acidity red oak,Pinot Noir
dry,Riesling
fruit rich dry,Malbec
red,Cabernet Sauvignon
rich fruit cherry structure,Shiraz
red black,Red Blend
mineral fruit creamy vanilla fruit,Chardonnay
black cherry fruit,Syrah
structure fruit cherry rich oak,Pinot Noir
rich black,Malbec
sweet,Syrah
berry dry oak,Malbec
fruit spicy,Red Blend
spicy earth,Pinot Noir
black fruit pepper,Red Blend
oak rich black fruit acidity,Cabernet Sauvignon
rich white oak white,White Blend
oak fruit,Cabernet Sauvignon
black acidity wood,Bordeaux-style Red Blend
fruit spicy acidity,Syrah
fruit vanilla creamy,White Blend
rich pepper sweet oak,Pinot Noir
black pepper black fruit,Red Blend
sweet,Riesling
apple acidity,Chardonnay
rich sweet,Syrah
sweet black,Cabernet Sauvignon
fruit mineral acidity,Nebbiolo
structure fruit black cherry,Cabernet Sauvignon
spicy vanilla light fruit,Red Blend
fruit fruit,Nebbiolo
fruit cherry acidity,Pinot Noir
dry fruit oak black,Cabernet Sauvignon
light citrus acidity fruit,Riesling
berry cherry fruit earth,Merlot
sweet cherry vanilla,Nebbiolo
light,Nebbiolo
berry white,Nebbiolo
black cherry,Nebbiolo
fruit structure,Nebbiolo
cherry white,Nebbiolo
vanilla cherry rich,Nebbiolo
black cherry black,Nebbiolo
apple,Nebbiolo
mineral white fruit,Nebbiolo
mineral white cherry,Nebbiolo
